Folder Name,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,Left_Elbow_Angle_sin,Left_Elbow_Angle_cos,Left_Shoulder_Angle_sin,Left_Shoulder_Angle_cos,Left_Knee_Angle_sin,Left_Knee_Angle_cos,Left_Hip_Angle_sin,Left_Hip_Angle_cos,Left_Ankle_Angle_sin,Left_Ankle_Angle_cos,Right_Elbow_Angle_sin,Right_Elbow_Angle_cos,Right_Shoulder_Angle_sin,Right_Shoulder_Angle_cos,Right_Knee_Angle_sin,Right_Knee_Angle_cos,Right_Hip_Angle_sin,Right_Hip_Angle_cos,Right_Ankle_Angle_sin,Right_Ankle_Angle_cos
sukhasana,0.539795675,0.150121243,0.165347101,0.52882781,0.144300552,0.228266424,0.520660977,0.126149211,0.210685341,0.552707355,0.162396556,0.42624497,0.502824854,0.164446851,0.341653419,0.58071099,0.341579373,0.221312289,0.441165651,0.401035234,0.124444335,0.545670544,0.564367158,0.571138487,0.436649593,0.559100297,0.65419264,0.807527405,0.658294967,0.343089422,0.183840355,0.659749347,0.505881431,0.562784893,0.668032101,0.067014808,0.496241188,0.652437044,-0.06778121,0.632027181,0.680117917,-0.680433956,0.360007859,0.531899792,-0.352411748,0.443766744,0.607733322,-0.360474416,0.556748248,0.707192374,-0.295931331,0.203115504,-0.979154785,0.484558737,0.874758727,0.368540172,0.929611823,0.99617976,-0.087326316,0.18884751,0.982006425,0.228709628,-0.973494687,0.518299212,0.855199349,0.377693885,0.925930521,0.999988308,-0.004835641,0.272075812,0.962275819
sukhasana,0.463283457,0.180867569,-0.232177769,0.478771345,0.17636406,-0.116331989,0.433967641,0.152102675,-0.110082949,0.532400456,0.192676774,0.442387923,0.41890553,0.180761225,0.471189045,0.579333913,0.34868094,0.233094357,0.345416071,0.381678983,0.420840542,0.503457999,0.550572847,0.512815401,0.391768223,0.518122566,0.705181655,0.725336052,0.610690588,-0.216356334,0.172286159,0.59123382,-0.292292311,0.557197683,0.602056189,-0.176048701,0.439870226,0.595773804,0.176013315,0.64527055,0.611057252,-2.654805211,0.297756636,0.480995302,-1.848265042,0.366249388,0.580181299,-2.44924127,0.584757397,0.645022893,-1.721199326,0.424033366,-0.905646567,0.352969306,0.935634901,0.412742719,0.910847653,0.998491176,-0.054912398,0.212079797,0.977252352,0.379677371,-0.925118962,0.455544095,0.89021322,0.325509525,0.945538761,0.99945928,0.032880795,0.167415105,0.985886496
sukhasana,0.515257523,0.204221902,-0.060467379,0.538796426,0.190875232,0.060654099,0.484988705,0.170370544,0.063485047,0.597436641,0.205589229,0.691828191,0.462176488,0.192736523,0.699523544,0.647914651,0.382159339,0.484197413,0.35874618,0.415029947,0.543913725,0.564838652,0.622597984,0.668652112,0.42030239,0.594060764,0.630066039,0.804744201,0.663871232,-0.130210669,0.191741589,0.655190262,-0.422584104,0.578640094,0.670474113,0.036983695,0.454630109,0.65248326,-0.036727048,0.674129569,0.67793417,-2.524685009,0.315027148,0.513752234,-2.083045377,0.357650884,0.621006903,-2.018761253,0.620937978,0.685005652,-1.231464221,0.541399538,-0.840765449,0.374593147,0.927189287,0.295118698,0.955460598,0.991782057,0.127938859,0.163370085,0.986564856,0.545584559,-0.838055779,0.309004205,0.951060672,0.167750025,0.985829564,0.983015065,0.183524882,0.172295652,0.985045282
sukhasana,0.472356064,0.202690611,0.005122883,0.490750091,0.190180112,0.125120688,0.453153347,0.165495743,0.13622911,0.537493848,0.199805037,0.703944439,0.441805388,0.185461303,0.747461164,0.58985273,0.362534222,0.502884087,0.367812535,0.403357722,0.596525515,0.535891731,0.576580088,0.64732733,0.403583332,0.559108024,0.897444744,0.798431738,0.64081938,-0.138392595,0.167236449,0.655423044,0.037784127,0.556383284,0.666051861,0.059567169,0.46280436,0.65205441,-0.059861721,0.641877932,0.653519966,-2.21956511,0.33743677,0.533476875,-1.96628613,0.408169394,0.59498692,-0.910609095,0.588213899,0.69315224,-1.427540785,0.429290673,-0.903166385,0.454099452,0.890951002,0.217725323,0.976010084,0.992719676,0.120447688,0.180695251,0.983539133,0.304325704,-0.952568037,0.450325512,0.892864454,0.28451063,0.958672886,0.998722811,0.05052472,0.157902873,0.987454648
sukhasana,0.499979731,0.166542639,-1.31229516,0.525461544,0.161859455,-1.179619211,0.467064916,0.130573156,-1.236507403,0.575806204,0.182985195,-0.439875142,0.430823242,0.153055208,-0.758878105,0.597148225,0.352861213,-0.060764072,0.297930984,0.370048913,-0.837397584,0.544234148,0.589823567,0.230666393,0.3236645,0.534999132,-0.660829185,0.759072728,0.634038342,-0.04780093,0.138031307,0.654251639,-1.111098272,0.548235171,0.618135586,0.545681471,0.425831087,0.610729643,-0.547603294,0.678794767,0.574443155,-3.014968676,0.389212161,0.458194068,-3.741221998,0.321179765,0.59400998,-3.075305034,0.708071603,0.665372272,-3.492134923,0.636044033,-0.771652764,0.513666654,0.857989842,0.221204849,0.975227366,0.948892337,0.315599956,0.287504811,0.957779194,0.161557127,-0.986863362,0.589729122,0.807601116,0.126933683,0.991911206,0.910409222,0.413708894,0.293300413,0.956020328
sukhasana,0.491642046,0.209595132,0.191114484,0.513510995,0.199956351,0.283396242,0.466064889,0.171249667,0.291964249,0.556976193,0.216899208,0.731970206,0.443004015,0.19866842,0.773325748,0.589710223,0.392724261,0.456601453,0.359609873,0.434490138,0.634678402,0.501283258,0.62295073,0.786777456,0.41826167,0.59789671,1.07189563,0.758239702,0.656286729,0.127205612,0.181812808,0.657581629,0.281967745,0.55715062,0.675878656,-0.065215795,0.449521336,0.659126658,0.065412044,0.680845749,0.670179136,-1.3993241,0.315897356,0.534988226,-1.324047483,0.408046762,0.617213737,-0.916167366,0.592369782,0.701987878,-0.943964567,0.71875399,-0.695264484,0.256105727,0.966648776,0.253455066,0.967347161,0.994359747,0.10605986,0.201140092,0.979562486,0.563192641,-0.826325631,0.314461462,0.94927024,0.249530302,0.96836699,0.996926244,0.078345804,0.167621652,0.985851399
sukhasana,0.496506656,0.188249793,-0.370515258,0.509929267,0.179729661,-0.303991705,0.477044886,0.15653023,-0.309051826,0.549525031,0.187617327,0.114729738,0.458575962,0.176739935,0.077382199,0.600033356,0.327166873,-0.023754153,0.361395791,0.384334254,0.1117689,0.531156454,0.536505976,0.081068125,0.42446487,0.530953948,0.334587929,0.772842266,0.573691293,-0.772229839,0.184182997,0.569829406,-0.577681311,0.569418123,0.609164787,0.019541954,0.470820491,0.602841833,-0.017904713,0.646509617,0.583439897,-1.93302436,0.348136043,0.452606311,-1.544401175,0.397377243,0.568881868,-1.634306748,0.616955811,0.663608344,-1.837277015,0.636044033,-0.771652764,0.397697085,0.917516773,0.297660821,0.95467169,0.989594505,0.143884382,0.277000962,0.960869641,0.792028234,-0.61048446,0.408389087,0.91280795,0.292925952,0.95613513,0.946949218,0.321383226,0.347177543,0.937799421
sukhasana,0.515172295,0.19073588,0.249406394,0.526313286,0.187565585,0.325505374,0.499326658,0.157964137,0.327010847,0.571570999,0.206714341,0.652230856,0.492662378,0.185870821,0.656711075,0.596360708,0.367347248,0.459988001,0.420159598,0.401894075,0.487990408,0.500757464,0.590803275,0.812493801,0.472307033,0.563412446,1.028017954,0.761151522,0.614204047,0.399992652,0.219067212,0.613256895,0.568041245,0.560097004,0.64109125,-0.036168581,0.490268318,0.633952634,0.036458495,0.621031648,0.622870624,-1.393004408,0.374513305,0.493563877,-0.960589345,0.413155769,0.591116119,-1.181013969,0.609524517,0.688018737,-1.122729769,0.837803575,-0.545971767,0.24630994,0.969191113,0.331330084,0.943514905,0.988861869,0.148836162,0.297210084,0.95481211,0.735325465,-0.677714143,0.304862302,0.952396439,0.314658574,0.949204921,0.987203349,0.159466449,0.321232314,0.947000422
sukhasana,0.481758076,0.198349324,-0.102106745,0.489535575,0.186799836,-0.041223844,0.474004698,0.163038565,-0.022235153,0.531742761,0.202598965,0.197646338,0.471800799,0.190313909,0.295584838,0.559012582,0.394150524,0.102139727,0.414480012,0.421431222,0.184735792,0.503851355,0.612315344,0.247832074,0.449465558,0.573956203,0.401011386,0.787708465,0.581451234,-0.216721222,0.195228431,0.552105828,-0.259112593,0.538328614,0.657376969,-0.052362156,0.478577617,0.641153065,0.052911241,0.604716437,0.591753326,-1.32545653,0.38045472,0.454581073,-0.742686346,0.408729326,0.603298864,-1.529916896,0.566416043,0.671539001,-1.009673989,0.963655017,-0.267149787,0.421352796,0.906896808,0.223515029,0.974700483,0.916361194,0.400352547,0.473963424,0.880544532,0.987242057,-0.159226636,0.377457224,0.926027021,0.135716887,0.99074766,0.875034098,0.484061284,0.492464603,0.870332474
sukhasana,0.479620498,0.16110525,0.156428267,0.486975351,0.150157504,0.210884629,0.470015946,0.129454791,0.219404562,0.530450504,0.164086941,0.451627116,0.470083178,0.150078083,0.495814405,0.563729215,0.347521852,0.376063829,0.40479615,0.377047794,0.37822235,0.509320228,0.585122503,0.810321529,0.431256738,0.556848685,0.985632323,0.759072728,0.634038342,-0.04780093,0.155118842,0.560920698,0.700168453,0.54625555,0.651901481,0.043835352,0.47154141,0.635191364,-0.043852057,0.619061498,0.561531447,-0.544047394,0.357818473,0.44196735,-0.396303354,0.429188155,0.600645019,-1.071084926,0.544464284,0.697364333,-0.935824244,0.636044033,-0.771652764,0.387273659,0.921964811,0.217336213,0.976096804,0.87701452,0.480463871,0.568075832,0.822976214,0.917897339,-0.396817938,0.387777389,0.921753056,0.271737492,0.962371412,0.880811278,0.473467521,0.606811195,0.794846007
